"id","PLR","PDC","PS","UDC","PVL","PBD","PES","Autres partis","canton","Electeurs inscrits","Participation en %"
"242",10.1882985,1.90103269,25.8175654,24.914756,5.76818673,11.2999833,10.8066408,9.3,"BE",62223,42.505183
"243",7.53181914,1.4521351,16.4591304,33.4894885,5.01290718,20.0767002,6.60030457,9.38,"BE",51077,49.4116726
"244",9.9245268,1.20876834,16.9878838,34.2727581,4.64225758,15.8606311,5.38815401,11.72,"BE",56953,48.22573
"245",6.32522765,1.29865517,15.325685,36.4747839,3.90273628,17.9917019,6.76210857,11.92,"BE",72337,48.8394598
"246",9.48011399,2.65793118,22.3209184,22.3706765,6.30847863,14.1279835,12.4152248,10.32,"BE",279269,54.369085
"247",7.27893265,1.67179468,15.614881,32.8815433,5.18355447,15.6253734,7.54746127,14.2,"BE",79932,50.3365361
"248",7.87414753,0.84814144,7.34398441,53.085645,3.7942226,14.9581309,3.60893447,8.49,"BE",12051,54.8087296
"249",5.99349675,0.84438113,11.3735866,39.177107,5.05611064,15.4530266,5.04782775,17.05,"BE",30277,54.8667305
"250",9.05272377,1.21192254,15.5098686,35.2159639,3.55870754,17.0439756,8.1600501,10.25,"BE",33889,47.460828
"2500",18.8637237,9.52279206,19.1013911,16.0724007,3.18938653,0,13.6118217,19.64,"GE",220925,43.3771642
"2601",7.109972,28.9904599,33.86492,17.7511984,0,0,12.2834496,0,"JU",24748,43.7732342
"2602",7.99931189,30.707036,35.7302598,13.4354034,0,0,12.127989,0,"JU",7553,39.1500066
"2603",12.958507,39.3743764,25.3946828,13.3341159,0,0,8.93831798,0,"JU",18328,47.370144
"311",17.9098976,19.4587843,16.5206235,22.397303,8.01964023,2.37325379,11.7925465,1.53,"LU",116992,48.9973673
"312",17.9098976,19.4587843,16.5206235,22.397303,8.01964023,2.37325379,11.7925465,1.53,"LU",116992,48.9973673
"313",16.4365536,27.6678995,10.9243069,29.0759921,5.34178023,2.52409957,6.28582537,1.74,"LU",42733,48.0588772
"314",20.8237942,31.6016083,7.53111834,24.4987399,5.74308855,1.99272783,6.43721503,1.37,"LU",48971,54.5812828
"315",20.7402937,37.3192293,5.30465589,26.6613022,3.39077762,1.70153557,3.88140101,1,"LU",34245,53.6633085
"316",13.6747631,42.8757924,3.30634532,33.2015314,1.97828406,0.95901588,3.34525827,0.66,"LU",13534,60.8172011
"400",74.4808108,0,21.4321316,0,0,0,0,4.09,"UR",25759,50.1067588
"501",6.98400312,32.7545845,18.4110417,28.4822474,0,2.46293406,2.99941475,7.91,"SZ",10081,53.466918
"502",22.4446786,23.0066737,10.2915349,31.3663505,0,4.21496312,5.47945205,3.2,"SZ",1464,51.0928962
"503",19.0849409,15.6259942,14.3216589,39.9832258,0,4.8008792,4.17040229,2.01,"SZ",17643,51.0344046
"504",24.2267724,17.4506549,15.1263605,30.664699,0,3.93531329,4.32269569,4.27,"SZ",8055,52.2036002
"505",15.1685393,14.035734,17.685117,43.0627187,0,4.09375576,3.62175355,2.33,"SZ",25503,44.7398345
"506",14.1004614,23.9839884,14.6230611,38.5834214,0,2.54350364,3.85556235,2.31,"SZ",35447,53.1046351
"600",0,0,0,43.1020147,0,0,0,56.9,"OW",25221,64.267872
"700",35.2020202,0,0,45.2300786,0,0,19.5679012,0,"NW",30363,60.9327142
"800",0,0,24.5584115,0,0,61.7127543,0,13.73,"GL",26078,34.1859038
"900",19.2300787,24.2902208,5.27215682,28.3108068,6.79045592,0,15.3642294,0.74,"ZG",71845,55.1297933
